Supplier,Product,Contract Length,Compliance,SLA,Delivery Time (days),Base Price,Additional Fees,Total Price,Price Volatility,Delivery Risk,Contract Risk
Jones LLC,Multi-Cloud Management,36 months,HIPAA,99.9%,60,33725,1645,35370,0.04335745994186688,0.35131554525317554,0.342889329596056
"Lamb, Moore and Reyes",Cloud Optimization,36 months,HIPAA,99.95%,45,28979,2787,31766,0.04606236196250117,0.18669429746141208,0.8385776663714248
Swanson LLC,Multi-Cloud Management,12 months,HIPAA,99.9%,90,23877,2411,26288,0.09626148813377625,0.17603280108000074,0.15870271235833644
"Torres, Powell and Wong",Cloud Optimization,36 months,SOC2,99.99%,45,29222,3932,33154,0.09871388414095017,0.4327064492487037,0.6794473358165979
Acosta-Peterson,AI-Powered Security,24 months,SOC2,99.95%,45,24634,1340,25974,0.006904970421257783,0.9867755973855576,0.26369825545106695
"Gonzalez, Mejia and Kaufman",Cloud Optimization,12 months,ISO 27001,99.95%,60,17038,4740,21778,0.060689799925167674,0.37115304628017465,0.6269719088061033
"Guzman, Baldwin and Fitzgerald",Multi-Cloud Management,24 months,SOC2,99.9%,60,30507,4503,35010,0.08929661277651753,0.17064358875210528,0.31137633690532385
"Clements, Nelson and Jimenez",AI-Powered Security,24 months,HIPAA,99.99%,45,24938,3488,28426,0.10625594940340895,0.8287442657284769,0.2856586695828828
Blair PLC,Multi-Cloud Management,12 months,SOC2,99.99%,90,39294,4760,44054,0.11142250358659975,0.07798283298998332,0.5673399295689356
Hernandez-Ross,AI-Powered Security,36 months,ISO 27001,99.99%,30,26373,2338,28711,0.026070143180785186,0.22255370972767097,0.4874111778902902
Fox-Robinson,AI-Powered Security,36 months,ISO 27001,99.9%,90,25381,3419,28800,0.13644206953243682,0.025036336237443835,0.4482388465553965
Graves-Kim,Cloud Optimization,36 months,ISO 27001,99.99%,90,19777,3918,23695,0.1415141049375425,0.2659825393799419,0.226338278437486
Frank-Lopez,AI-Powered Security,12 months,FedRAMP,99.95%,90,22685,701,23386,0.024206005727224398,0.6713910048249883,0.8089092960897761
Mckinney-Cardenas,AI-Powered Security,12 months,FedRAMP,99.95%,30,30466,2104,32570,0.049674863133305144,0.028184052345116895,0.44989585598809345
"Hamilton, Browning and Sullivan",AI-Powered Security,12 months,ISO 27001,99.9%,30,32274,4864,37138,0.09930143469210699,0.5516028659840939,0.27402071740240774
"Scott, Rocha and Munoz",Cloud Optimization,12 months,HIPAA,99.95%,90,27624,858,28482,0.05374843928840748,0.6532902447594835,0.2339964787906278
"Richardson, Foley and Russell",Multi-Cloud Management,12 months,ISO 27001,99.95%,90,30122,921,31043,0.030524265081046692,0.5556640731487861,0.21890616259131657
"Williams, Hamilton and Montes",Cloud Optimization,24 months,SOC2,99.95%,45,15385,3317,18702,0.12885272315561525,0.0076707992897887545,0.05055570953738975
"Rich, Solis and Beard",Cloud Optimization,12 months,FedRAMP,99.9%,60,23947,4077,28024,0.09202720240762688,0.46325660439450267,0.09007386294689113
"Hayes, Gonzalez and Wagner",AI-Powered Security,24 months,ISO 27001,99.9%,45,32357,2082,34439,0.09570846874239232,0.8542167417136771,0.9982951741819063
"Nelson, Nelson and Doyle",Multi-Cloud Management,36 months,FedRAMP,99.95%,90,32060,1608,33668,0.07712822713815169,0.40627480055958654,0.04481631067080727
"Brown, Price and Johnson",Cloud Optimization,24 months,SOC2,99.95%,45,15837,1102,16939,0.08678631170748356,0.23747669500562407,0.26217155174161544
Thomas Group,Cloud Optimization,36 months,SOC2,99.95%,90,15949,2386,18335,0.1382311414795161,0.11907100073451915,0.16313987622788295
Fisher-Wilson,AI-Powered Security,36 months,ISO 27001,99.99%,45,31531,1838,33369,0.03852287487084785,0.5311525659685531,0.9418033596009769
Warren Inc,Multi-Cloud Management,24 months,HIPAA,99.95%,30,28353,4637,32990,0.07749907437029104,0.3851407363115795,0.05700659464969238
Adams LLC,Cloud Optimization,24 months,FedRAMP,99.99%,45,17721,3208,20929,0.13967371366659334,0.3948409997650211,0.4281756874621504
"Duarte, Moore and Evans",Cloud Optimization,12 months,ISO 27001,99.9%,30,21741,4154,25895,0.0443657852073889,0.24181441903715273,0.035622865754098676
Delacruz-Rios,Cloud Optimization,24 months,FedRAMP,99.99%,90,23799,4926,28725,0.01720346740069747,0.071240715242599,0.8519307491238942
"Williams, Thomas and Wagner",Cloud Optimization,12 months,HIPAA,99.99%,30,16822,3621,20443,0.007336773791773055,0.39551694310755714,0.8536957139810395
"Lynch, Smith and Crawford",AI-Powered Security,24 months,SOC2,99.95%,45,28258,2363,30621,0.008739647031157849,0.6750548307334661,0.766770545141332
"Ortiz, Knight and Smith",AI-Powered Security,12 months,HIPAA,99.9%,30,18617,3070,21687,0.0863161389795998,0.3942419878349164,0.3066739716880761
Stewart PLC,Cloud Optimization,36 months,SOC2,99.9%,60,22424,724,23148,0.12198797360175306,0.65016918158767,0.5700377887853492
"Hodge, Johnson and Patterson",Cloud Optimization,12 months,SOC2,99.99%,90,16403,4712,21115,0.011490436253731523,0.9612347038921889,0.24570509248467565
Hughes-Andrews,Multi-Cloud Management,12 months,SOC2,99.95%,60,22968,1244,24212,0.06018449994175377,0.4298457437063502,0.14817773032947368
"Perez, Sims and Moran",Multi-Cloud Management,36 months,HIPAA,99.99%,45,32368,3162,35530,0.055007475099440824,0.45207657067912055,0.15697839513065615
"Chavez, Larson and Campos",Cloud Optimization,12 months,HIPAA,99.9%,90,27567,4325,31892,0.022304897744632235,0.7238286818229451,0.18676841627000884
Rivera-Rowe,Multi-Cloud Management,36 months,ISO 27001,99.9%,60,37695,1918,39613,0.04812363837875819,0.08979726607286032,0.39396127534042524
Sanders Group,Cloud Optimization,36 months,HIPAA,99.99%,45,17145,2663,19808,0.10449095810412178,0.9367135596314982,0.23729427699515104
Sanchez-Lowe,Cloud Optimization,36 months,FedRAMP,99.95%,90,18559,2056,20615,0.0006529787241396745,0.5552382299059985,0.932798056872979
Ellis-Martin,Cloud Optimization,24 months,SOC2,99.9%,45,15296,1586,16882,0.026844272570250155,0.6636951389123827,0.9907621555393796
"Williamson, May and Johnson",Multi-Cloud Management,12 months,SOC2,99.95%,30,26393,1220,27613,0.04433516077305505,0.8965788488242853,0.30473620054107875
Wilson and Sons,AI-Powered Security,36 months,HIPAA,99.95%,30,29914,1871,31785,0.06795360204018096,0.7716407371953017,0.8430434366717035
Moore-Newman,Multi-Cloud Management,24 months,FedRAMP,99.9%,45,29144,3422,32566,0.1214368891372477,0.9503245389672733,0.465239315179936
"Bennett, Mack and Arroyo",Cloud Optimization,24 months,ISO 27001,99.9%,90,26833,3590,30423,0.009165443472990536,0.8445563757121602,0.6739812723165507
Hall Ltd,AI-Powered Security,36 months,FedRAMP,99.95%,60,19468,509,19977,0.07205963822812952,0.10649631700445106,0.8394715423230991
Allen Ltd,Cloud Optimization,24 months,HIPAA,99.9%,90,25633,1854,27487,0.03672372276934858,0.193110211709014,0.2199971526705422
Munoz-Guerrero,AI-Powered Security,12 months,FedRAMP,99.95%,30,29055,1614,30669,0.11507769215987107,0.9784133943229371,0.698394245940942
"Ruiz, Le and Miller",Multi-Cloud Management,24 months,SOC2,99.99%,90,33344,4248,37592,0.14193493506667906,0.48413912711794505,0.3745509634032975
Yang-Hodges,Cloud Optimization,36 months,HIPAA,99.9%,45,26387,1874,28261,0.06758956936553998,0.3877831574463789,0.23977973884404746
Carter-Davis,Cloud Optimization,12 months,FedRAMP,99.9%,90,29420,747,30167,0.05817330158629175,0.8450986545742005,0.9884168248403008
Johnson and Sons,Cloud Optimization,12 months,SOC2,99.9%,30,29743,1868,31611,0.04710281455835475,0.4924706226322353,0.20051859006430872
"Jones, Manning and Campos",AI-Powered Security,36 months,FedRAMP,99.99%,30,31115,2311,33426,0.04837066692692019,0.5058046230176674,0.7505149276387741
"Spencer, Mullins and Chang",Multi-Cloud Management,24 months,SOC2,99.9%,60,25950,1222,27172,0.13341171464305596,0.9136080238811446,0.4607004381371572
Richardson and Sons,Multi-Cloud Management,24 months,HIPAA,99.95%,60,31525,2523,34048,0.13078709831379545,0.9726277413964189,0.763246573514173
Bradford-Phillips,AI-Powered Security,36 months,ISO 27001,99.99%,90,24819,4876,29695,0.02922061196895314,0.6109185775172612,0.8106198662793589
Vazquez-Fisher,AI-Powered Security,12 months,HIPAA,99.99%,60,27325,4146,31471,0.05503434927980625,0.7487733218218078,0.8742720265915166
"Ortiz, Coleman and Fleming",AI-Powered Security,24 months,HIPAA,99.95%,45,29365,4407,33772,0.12513432350534537,0.4962970916402817,0.6212617559255493
"White, Foley and Winters",Cloud Optimization,24 months,ISO 27001,99.99%,45,23079,4043,27122,0.13456956994664046,0.43256449926843143,0.16643207666245707
Thompson-Miller,Multi-Cloud Management,12 months,FedRAMP,99.9%,90,34530,4493,39023,0.10513640729320337,0.4220686381374128,0.752343973008841
"Richardson, Hall and Miller",Cloud Optimization,24 months,HIPAA,99.9%,45,18665,2644,21309,0.1445668704624455,0.9666226101597636,0.37779932620204393
Rodriguez and Sons,Multi-Cloud Management,12 months,SOC2,99.99%,90,27045,2795,29840,0.08516416834465904,0.42965692218600193,0.818112546774591
"Neal, Robinson and Gill",Cloud Optimization,36 months,ISO 27001,99.99%,45,27000,2345,29345,0.008916313243637468,0.40167138880853503,0.9883554897165877
Smith-Reynolds,Multi-Cloud Management,12 months,SOC2,99.9%,60,33707,2415,36122,0.06585648907041794,0.12744305557012303,0.46433265261803425
"White, Jacobs and Arnold",AI-Powered Security,12 months,SOC2,99.99%,90,31194,3425,34619,0.09485524978719193,0.4309755247668423,0.13845385365700535
"Holland, Jensen and Long",AI-Powered Security,36 months,ISO 27001,99.99%,45,32436,606,33042,0.0066464716857489335,0.32059390708031776,0.5718757164709517
"Ramirez, Estrada and Joseph",Multi-Cloud Management,12 months,SOC2,99.9%,60,20867,3269,24136,0.08599706168572831,0.6885995206754952,0.3261497171193616
Turner-Booth,Cloud Optimization,24 months,ISO 27001,99.99%,90,28157,1630,29787,0.055210455782594814,0.6713340311030056,0.8317211202799181
Shea Group,Cloud Optimization,12 months,FedRAMP,99.99%,60,21732,1068,22800,0.11770139710933163,0.22816733438058445,0.19253481772377334
Rodriguez-Williams,AI-Powered Security,24 months,FedRAMP,99.99%,30,33746,4851,38597,0.009961296580394168,0.014351309585293515,0.8810096692124272
Brewer Group,AI-Powered Security,36 months,FedRAMP,99.9%,30,24214,896,25110,0.01453626520167166,0.2905032471986191,0.6597044821470919
Simpson PLC,Multi-Cloud Management,36 months,FedRAMP,99.99%,60,30298,3580,33878,0.1434299805021606,0.7228541796753541,0.8282830451682474
Kline PLC,AI-Powered Security,36 months,HIPAA,99.95%,45,32268,1407,33675,0.06448377903461379,0.7194045134317787,0.5599116862447463
Holland-Shaw,Cloud Optimization,12 months,FedRAMP,99.9%,60,29556,3865,33421,0.0352807489646597,0.561253820794501,0.12579699243794584
Knight Group,AI-Powered Security,36 months,ISO 27001,99.95%,30,19020,4153,23173,0.09436697152206455,0.7822290004721234,0.6850451757086196
"Davis, Oneill and Mendez",Multi-Cloud Management,12 months,HIPAA,99.99%,60,39565,3541,43106,0.10792153397646968,0.9525859813174191,0.2641103901790758
"Mckee, Jones and Graves",Cloud Optimization,24 months,HIPAA,99.95%,45,24888,4150,29038,0.06060099346203038,0.8208317903747576,0.5771304505217814
Barrett PLC,Multi-Cloud Management,24 months,SOC2,99.9%,30,33567,3275,36842,0.06915799957907823,0.8345719568709472,0.6594796782867858
Key-Cook,Multi-Cloud Management,12 months,FedRAMP,99.99%,60,32247,3206,35453,0.08272987339958904,0.8118666200900677,0.5316624728644793
"Daniels, Campbell and Mayo",Multi-Cloud Management,24 months,ISO 27001,99.9%,60,39465,4797,44262,0.10910302756139392,0.47924237503933054,0.2873799152555684
"Goodman, Ramirez and Bailey",Multi-Cloud Management,24 months,SOC2,99.99%,30,27559,1487,29046,0.14019080821158797,0.796600456498377,0.05566614605619913
"Miller, Garcia and Conway",Cloud Optimization,12 months,FedRAMP,99.99%,45,25780,1881,27661,0.050838857545456445,0.25610706046045606,0.22244616775986503
"Galvan, Carey and Lambert",Cloud Optimization,12 months,FedRAMP,99.99%,60,16887,1823,18710,0.012786044669423091,0.3137669762884384,0.6578472389213587
Craig-Graves,Multi-Cloud Management,12 months,ISO 27001,99.9%,60,20016,2302,22318,0.11521348578287102,0.20808721485011028,0.3841891520539801
Martinez LLC,AI-Powered Security,12 months,SOC2,99.99%,30,19946,1116,21062,0.004541565199668923,0.3005638851119715,0.7973244634002504
"Guerrero, Blevins and Nguyen",AI-Powered Security,36 months,SOC2,99.99%,90,18082,672,18754,0.05062583676712088,0.4600197677547496,0.6870238380712053
Hamilton PLC,Multi-Cloud Management,12 months,HIPAA,99.9%,45,36588,3602,40190,0.053853392503512905,0.1051882848789717,0.32283777773130984
Lopez-Bell,Cloud Optimization,12 months,ISO 27001,99.99%,30,22390,4396,26786,0.008836299159849908,0.5787178554398685,0.6357388320267334
"Miller, Brown and Gonzalez",Multi-Cloud Management,12 months,HIPAA,99.99%,90,22905,2637,25542,0.10998910888549494,0.5181339133443376,0.011521012026043387
Rogers Group,Cloud Optimization,24 months,ISO 27001,99.99%,45,24849,2600,27449,0.0015640841000211846,0.2046928295829813,0.7762250528720227
"Huff, Allen and Morris",Multi-Cloud Management,12 months,HIPAA,99.99%,45,32177,4340,36517,0.14349901326363199,0.22390813154111433,0.4577493673821993
"Martinez, Sanchez and Warren",AI-Powered Security,36 months,FedRAMP,99.9%,60,22979,925,23904,0.08536957540686618,0.37457960693498527,0.6541174841780109
Reeves Inc,Multi-Cloud Management,12 months,FedRAMP,99.99%,60,37943,4694,42637,0.046086337612436114,0.3719549577376997,0.08236744715297573
"Mullins, Williams and Dickson",Multi-Cloud Management,24 months,FedRAMP,99.99%,90,29944,3439,33383,0.12996731709513962,0.9095515907751013,0.21727877876713642
Cruz-Taylor,AI-Powered Security,24 months,FedRAMP,99.95%,30,32096,2733,34829,0.012775075006583453,0.597398891187153,0.6865809280212878
"Robinson, Hernandez and Vega",Multi-Cloud Management,36 months,HIPAA,99.9%,30,32723,2277,35000,0.1192394276155096,0.16369028390380314,0.5395151135743653
"Garcia, Rose and Colon",Cloud Optimization,24 months,HIPAA,99.99%,90,24022,2092,26114,0.09101215354882959,0.45275065185803587,0.7779861187205073
Vazquez-Morales,AI-Powered Security,36 months,SOC2,99.95%,45,28415,4316,32731,0.04858921223486547,0.9004116380886182,0.5054209265263945
"Walker, Jones and Reese",Cloud Optimization,12 months,FedRAMP,99.9%,45,19773,3935,23708,0.08997444063094993,0.7967507173302343,0.7515463074381062
"Johnson, Rodriguez and Simpson",Cloud Optimization,36 months,HIPAA,99.99%,30,19554,549,20103,0.07490933987565986,0.12815498456313268,0.8057358218764082
Watkins and Sons,Cloud Optimization,36 months,SOC2,99.99%,30,29161,2551,31712,0.04277936224577245,0.13639003964285845,0.7590554097105976
Case and Sons,Multi-Cloud Management,12 months,ISO 27001,99.9%,90,36643,4858,41501,0.08642781187609086,0.5661910873974069,0.2619098918753894
Dixon LLC,AI-Powered Security,12 months,FedRAMP,99.99%,60,32698,4640,37338,0.132283644742213,0.7495862900768155,0.5373455884130005
"Daniels, Ponce and Rivera",AI-Powered Security,12 months,ISO 27001,99.9%,30,20092,3467,23559,0.017000112817155875,0.6798748141696267,0.99761683604055
"Rodriguez, Harris and Harrison",AI-Powered Security,12 months,FedRAMP,99.99%,45,29829,3128,32957,0.14843449227437097,0.11583465834136975,0.129954904076921
Johnson-Davis,Multi-Cloud Management,36 months,HIPAA,99.9%,90,23523,4202,27725,0.11547870085183402,0.5482159106549206,0.5395035904500061
Robinson-Martin,Cloud Optimization,12 months,SOC2,99.9%,30,23208,2097,25305,0.07328790788337285,0.8054816933119101,0.4263349054403459
Snyder-Clark,AI-Powered Security,24 months,SOC2,99.95%,90,34667,3488,38155,0.051435396532632245,0.07096463328553548,0.3317775090046472
Calhoun-Young,Multi-Cloud Management,12 months,SOC2,99.99%,60,27636,1300,28936,0.07784931846482473,0.672511369297406,0.044332250802281425
"Perez, Rogers and Smith",AI-Powered Security,12 months,HIPAA,99.99%,60,34756,3498,38254,0.1265687016699751,0.8182675681595905,0.9863296545513397
Moore Inc,AI-Powered Security,24 months,FedRAMP,99.99%,45,24880,4437,29317,0.08218514354806636,0.7073449591910562,0.2718842452628857
Davis-Smith,Cloud Optimization,36 months,ISO 27001,99.95%,45,26143,4493,30636,0.13229436417478027,0.8520698378285569,0.5063662535617891
"Jordan, Hardy and Benitez",AI-Powered Security,24 months,HIPAA,99.9%,30,24115,1580,25695,0.10225223851686255,0.9343300082169445,0.7802034968567615
Perez-Miller,Multi-Cloud Management,36 months,FedRAMP,99.9%,90,28232,2638,30870,0.12542896466287354,0.36048672167611706,0.4003445182163753
Baker-Simmons,AI-Powered Security,36 months,HIPAA,99.9%,90,21709,2656,24365,0.004647142991679281,0.27789439784074976,0.5020576469023181
"Sharp, Joseph and Hunter",Multi-Cloud Management,12 months,SOC2,99.99%,30,38792,3077,41869,0.04801396636133271,0.7003851331432934,0.11374301941372433
Wood-Curtis,Cloud Optimization,24 months,HIPAA,99.95%,90,25291,4102,29393,0.05319941276474386,0.060430677152637724,0.4666458007513755
Mcdaniel-Chen,Multi-Cloud Management,36 months,FedRAMP,99.9%,60,25442,1855,27297,0.013441059058863175,0.21585790076521238,0.7818535394902439
Love-Vargas,Cloud Optimization,36 months,SOC2,99.95%,60,20825,2913,23738,0.09640416248220746,0.3251474462311502,0.6327151243009916
Peters-Anderson,Cloud Optimization,36 months,HIPAA,99.99%,60,20968,3967,24935,0.08549170746236416,0.7497675583342468,0.6703759104353387
Anderson Ltd,Cloud Optimization,24 months,SOC2,99.95%,30,24844,4771,29615,0.014074095986394657,0.9483265830361624,0.5431531237064317
Allen Group,AI-Powered Security,36 months,FedRAMP,99.9%,90,18349,4526,22875,0.07299150655340735,0.9595534142998999,0.7326856913968013
Sandoval Ltd,Cloud Optimization,36 months,ISO 27001,99.95%,60,15073,1962,17035,0.12729131352587952,0.32332010374864084,0.43931630785765274
Mcgrath-Hamilton,AI-Powered Security,36 months,SOC2,99.95%,60,18035,1520,19555,0.12407680599870191,0.8328690417979895,0.8506005483015567
Lawson LLC,Cloud Optimization,24 months,FedRAMP,99.99%,45,23337,1526,24863,0.033567365417461636,0.8152052811654619,0.8459681446546411
Shea-Hernandez,AI-Powered Security,12 months,SOC2,99.99%,30,28018,1282,29300,0.06505438755123535,0.6203378054437996,0.02606660693259888
Roberts-Fernandez,Cloud Optimization,36 months,HIPAA,99.99%,90,27866,2093,29959,0.06021572429982974,0.5283989834014866,0.12273931954430894
"Pearson, Lewis and Gardner",Cloud Optimization,24 months,SOC2,99.95%,60,28169,4614,32783,0.12910795586003518,0.8892256020848937,0.3040745888313513
"Martinez, Bennett and Ortiz",Multi-Cloud Management,36 months,ISO 27001,99.9%,60,38565,4992,43557,0.11441472166817418,0.43972863766353476,0.8555494904355281
Bailey PLC,Cloud Optimization,12 months,SOC2,99.95%,60,20106,2666,22772,0.013732760362686914,0.11315900658967626,0.10844361775126188
"Campos, Rowland and Stone",Cloud Optimization,36 months,SOC2,99.99%,60,18711,2086,20797,0.10597147308291043,0.684722537221332,0.5155199159143766
"Barber, Garcia and Miller",AI-Powered Security,36 months,SOC2,99.99%,30,31355,3699,35054,0.035693320717642626,0.7456089284998436,0.446349664382626
"Harris, Rhodes and Oconnor",AI-Powered Security,24 months,FedRAMP,99.9%,30,29938,4158,34096,0.05148452624513272,0.8166787392759234,0.9670554032283101
"Boyd, Thompson and Andrews",AI-Powered Security,36 months,SOC2,99.99%,45,25098,2568,27666,0.1216662771514237,0.07747806596373052,0.7132817223822362
Morris-Curry,Cloud Optimization,36 months,SOC2,99.95%,45,19788,2234,22022,0.11393893241069618,0.44399902074672615,0.7798835857345133
Dennis-Price,Cloud Optimization,24 months,HIPAA,99.99%,45,15752,2972,18724,0.014116195310633916,0.21884081695077606,0.5035585463255224
Garcia PLC,Multi-Cloud Management,24 months,FedRAMP,99.99%,45,25565,4137,29702,0.13746193771506415,0.3879350756788693,0.5034041088444616
Wright-Brown,Multi-Cloud Management,12 months,FedRAMP,99.9%,30,39522,3000,42522,0.10225477423735722,0.4655147251288725,0.12134415694036216
"Lopez, Brown and Park",Cloud Optimization,24 months,HIPAA,99.95%,90,22459,706,23165,0.1286157837704757,0.5226931365108133,0.7719321122398732
Carey-Dean,Cloud Optimization,36 months,SOC2,99.95%,90,21487,2272,23759,0.03628044541706855,0.43097084250528284,0.33197695216123313
"Rivera, Rivera and Knapp",Cloud Optimization,24 months,SOC2,99.9%,30,21021,1860,22881,0.10510085172692397,0.8436380128457944,0.5948303773589867
Bell-Odonnell,AI-Powered Security,12 months,FedRAMP,99.99%,45,27212,3643,30855,0.12988291360946,0.08928625153113057,0.8227691015073356
"Liu, Benjamin and Yang",Cloud Optimization,36 months,SOC2,99.9%,60,26358,1742,28100,0.13293920767947198,0.6508383588369067,0.1441600603883696
Mcknight Inc,Cloud Optimization,36 months,ISO 27001,99.95%,90,28018,1067,29085,0.1104584685075067,0.9677871919334492,0.11488309107878891
West-Wiggins,AI-Powered Security,12 months,ISO 27001,99.95%,30,27729,2470,30199,0.12461413002198399,0.4272817081273277,0.42231387785603225
"Berry, Sanchez and Young",Multi-Cloud Management,24 months,FedRAMP,99.99%,60,27319,4073,31392,0.008419738203160847,0.8155424374190073,0.6202300525347562
Silva PLC,Cloud Optimization,12 months,HIPAA,99.95%,60,25933,3438,29371,0.02416843450737505,0.25744898784259085,0.9256635763208915
Smith-Riggs,Cloud Optimization,12 months,FedRAMP,99.99%,90,27941,1642,29583,0.09270562208426615,0.7055631903608371,0.8288222571053818
Nelson and Sons,Multi-Cloud Management,24 months,SOC2,99.9%,90,37083,4592,41675,0.10617978045041582,0.7235223567491524,0.3321070115377964
"Maldonado, Carlson and Watkins",AI-Powered Security,12 months,FedRAMP,99.9%,30,24061,931,24992,0.14217075275437022,0.24965009275830274,0.9415362460384926
Floyd-Lopez,AI-Powered Security,12 months,HIPAA,99.9%,60,32385,4838,37223,0.08401577245082018,0.9006793870200173,0.031031032544945436
"Fitzgerald, Jenkins and Dean",Multi-Cloud Management,36 months,HIPAA,99.9%,45,33215,4478,37693,0.00500710550019221,0.7176283968694148,0.25209706511397556
"Jennings, Wells and Smith",Multi-Cloud Management,12 months,FedRAMP,99.9%,90,35037,3155,38192,0.14494677873292286,0.7303729932442136,0.3004790036864622
Golden Ltd,AI-Powered Security,36 months,FedRAMP,99.99%,30,19511,2758,22269,0.08276654074683418,0.402752558490689,0.19003781452016077
"Haley, Johnson and Andrews",AI-Powered Security,36 months,FedRAMP,99.9%,60,30232,2070,32302,0.09167450441874463,0.6662613026613708,0.6695972165770953
Martinez and Sons,Multi-Cloud Management,36 months,HIPAA,99.99%,45,20188,1099,21287,0.02653244102391771,0.25374872039489194,0.10064439431196248
"Carter, Johnson and Bryan",AI-Powered Security,24 months,ISO 27001,99.95%,45,19870,4761,24631,0.07469851916321528,0.5421956448860736,0.30062690653864854
"Reed, Haynes and Morris",Multi-Cloud Management,24 months,HIPAA,99.99%,45,24438,4001,28439,0.05343403312340634,0.4910384698381226,0.921866435515026
Hernandez PLC,Cloud Optimization,12 months,SOC2,99.95%,60,21200,4786,25986,0.11700913848272523,0.513390073528181,0.2497690128593153
"Diaz, Martin and Hendricks",AI-Powered Security,24 months,ISO 27001,99.9%,45,30170,1241,31411,0.10413973950939202,0.49145414356805195,0.35448955078252986
Paul Inc,Cloud Optimization,36 months,FedRAMP,99.95%,60,23434,4814,28248,0.11140551572290223,0.5738858673758923,0.19423675800664908
Cole-Wallace,Multi-Cloud Management,24 months,SOC2,99.99%,45,39522,4240,43762,0.06171543561399935,0.9218345099671071,0.4995623111402354
Wiggins-Olson,AI-Powered Security,36 months,SOC2,99.99%,60,19765,2053,21818,0.12701588723863097,0.9087809432111732,0.9126293113764777
"Thomas, Williams and Christensen",AI-Powered Security,12 months,FedRAMP,99.95%,30,19307,2585,21892,0.06539017363366924,0.9854047834806314,0.05683906107981962
Walton-Morgan,Multi-Cloud Management,24 months,ISO 27001,99.99%,45,23909,1723,25632,0.028231406468151813,0.5849939785245091,0.48454173102226905
"Jimenez, Bailey and Hamilton",AI-Powered Security,12 months,HIPAA,99.99%,90,24745,3109,27854,0.13223029470175224,0.3432496908055924,0.8563373248357075
"Williams, Elliott and Mathews",Multi-Cloud Management,12 months,FedRAMP,99.95%,45,29764,3201,32965,0.031782980917493625,0.5363720237241257,0.481560967777346
Rowland-Berger,Multi-Cloud Management,36 months,FedRAMP,99.99%,60,26490,2444,28934,0.036557796837207016,0.25656266990321286,0.916075048692817
Bennett and Sons,AI-Powered Security,24 months,ISO 27001,99.99%,90,28687,746,29433,0.04817085605946011,0.24696884797021224,0.40900689849340055
Moore Group,Cloud Optimization,12 months,HIPAA,99.95%,60,17060,3834,20894,0.014583662688963717,0.38959524843862814,0.015107445587704382
Sullivan-Gonzalez,Multi-Cloud Management,12 months,ISO 27001,99.9%,30,29509,3867,33376,0.12042995585963191,0.38655787373149264,0.204653529646327
"Jackson, Edwards and Williams",Multi-Cloud Management,12 months,SOC2,99.99%,60,22665,915,23580,0.04669993074493905,0.32678284596921847,0.07394868986970127
Williams-Kramer,Multi-Cloud Management,12 months,FedRAMP,99.9%,45,23971,3457,27428,0.0018147032547678299,0.28815694946174486,0.009222273587226937
Walker PLC,Cloud Optimization,36 months,FedRAMP,99.95%,60,27927,4451,32378,0.1344656153578105,0.5854700290228892,0.9344556867627815
Jones PLC,AI-Powered Security,36 months,SOC2,99.9%,60,21544,1201,22745,0.13972977021143684,0.5548943761752093,0.9269406627820395
Hicks-Miller,AI-Powered Security,36 months,FedRAMP,99.9%,60,24659,4760,29419,0.08487129512792613,0.9253549070991179,0.025440901132439353
Cohen-Harrison,AI-Powered Security,12 months,SOC2,99.99%,60,21371,835,22206,0.02055165430326426,0.20189605613288986,0.4081646649015549
"Hale, Griffin and West",AI-Powered Security,12 months,ISO 27001,99.95%,60,26766,720,27486,0.14553525936420308,0.943499229703927,0.4836503791761352
"Stewart, Powell and Kim",Cloud Optimization,36 months,SOC2,99.9%,60,16961,3983,20944,0.09450783032244427,0.8431836266573511,0.8982696496338443
"Little, Mata and Garcia",AI-Powered Security,24 months,HIPAA,99.9%,45,34763,4473,39236,0.09871483272112548,0.36416786288271275,0.7024941626624895
"Mcdowell, Houston and Foster",Multi-Cloud Management,36 months,HIPAA,99.9%,60,20777,3066,23843,0.14057843233137818,0.10786433844424248,0.09926014930919491
"James, Miller and Warren",Multi-Cloud Management,24 months,HIPAA,99.99%,45,37869,3120,40989,0.09532245233197323,0.10587902147380224,0.8952948141563388
Castillo-Chandler,Multi-Cloud Management,12 months,SOC2,99.99%,60,21840,997,22837,0.030055064211472308,0.3077540440643939,0.2858069260789511
Tucker Inc,Multi-Cloud Management,36 months,FedRAMP,99.95%,45,33067,4195,37262,0.13890641518890712,0.5032180507452165,0.3477348557636154
Lee Ltd,AI-Powered Security,24 months,SOC2,99.95%,45,31339,3866,35205,0.057557302425049,0.5393745588240276,0.38010599871580397
"Raymond, Harris and Schaefer",AI-Powered Security,12 months,ISO 27001,99.95%,30,34414,2305,36719,0.12352145639823198,0.6782897485771823,0.839068575417683
Davis PLC,Multi-Cloud Management,12 months,SOC2,99.9%,90,21862,2302,24164,0.06961661908362288,0.2976637947582136,0.7253664481494441
Barron-Hampton,Cloud Optimization,24 months,SOC2,99.99%,30,24234,4238,28472,0.09003293110166348,0.26833106511932536,0.383360519135037
Johnson-Garcia,AI-Powered Security,12 months,FedRAMP,99.99%,30,26294,1285,27579,0.14724984748948586,0.49298455781839545,0.938495158330771
